"","higherseed_win_prob","lowerseed_win_prob","game4_prob","game5_prob","game6_prob","game7_prob","team","opponent"
"152",0.504,0.496,0.123,0.242,0.309,0.326,"NYK","NOP"
"153",0.378,0.622,0.119,0.244,0.318,0.319,"NYK","BOS"
"154",0.534,0.466,0.096,0.26,0.321,0.323,"NYK","NYK"
"155",0.701,0.299,0.117,0.295,0.291,0.297,"NYK","MIL"
"156",0.669,0.331,0.119,0.289,0.282,0.31,"NYK","CLE"
"157",0.706,0.294,0.112,0.305,0.297,0.286,"NYK","ORL"
"158",0.656,0.344,0.112,0.266,0.3,0.322,"NYK","IND"
"159",0.563,0.437,0.128,0.255,0.324,0.293,"NYK","PHI"
"160",0.623,0.377,0.133,0.272,0.289,0.306,"NYK","MIA"
"161",0.374,0.626,0.118,0.227,0.337,0.318,"MIL","OKC"
"162",0.314,0.686,0.13,0.239,0.339,0.292,"MIL","DEN"
"163",0.502,0.498,0.098,0.235,0.342,0.325,"MIL","MIN"
"164",0.562,0.438,0.132,0.257,0.298,0.313,"MIL","LAC"
"165",0.502,0.498,0.11,0.244,0.313,0.333,"MIL","DAL"
"166",0.477,0.523,0.114,0.24,0.305,0.341,"MIL","PHX"
"167",0.518,0.482,0.097,0.233,0.327,0.343,"MIL","LAL"
"168",0.397,0.603,0.124,0.255,0.309,0.312,"MIL","NOP"
"169",0.258,0.742,0.157,0.254,0.306,0.283,"MIL","BOS"
"170",0.395,0.605,0.135,0.244,0.346,0.275,"MIL","NYK"
"171",0.531,0.469,0.125,0.256,0.3,0.319,"MIL","MIL"
"172",0.582,0.418,0.103,0.237,0.315,0.345,"MIL","CLE"
"173",0.606,0.394,0.104,0.227,0.294,0.375,"MIL","ORL"
"174",0.554,0.446,0.118,0.239,0.31,0.333,"MIL","IND"
"175",0.454,0.546,0.123,0.262,0.304,0.311,"MIL","PHI"
"176",0.505,0.495,0.114,0.25,0.321,0.315,"MIL","MIA"
"177",0.344,0.656,0.121,0.24,0.34,0.299,"CLE","OKC"
"178",0.274,0.726,0.147,0.215,0.354,0.284,"CLE","DEN"
"179",0.491,0.509,0.098,0.255,0.337,0.31,"CLE","MIN"
"180",0.548,0.452,0.121,0.247,0.326,0.306,"CLE","LAC"
"181",0.464,0.536,0.109,0.245,0.322,0.324,"CLE","DAL"
"182",0.482,0.518,0.119,0.244,0.315,0.322,"CLE","PHX"
"183",0.532,0.468,0.111,0.234,0.319,0.336,"CLE","LAL"
"184",0.365,0.635,0.142,0.258,0.311,0.289,"CLE","NOP"
"185",0.241,0.759,0.172,0.258,0.335,0.235,"CLE","BOS"
"186",0.393,0.607,0.124,0.224,0.331,0.321,"CLE","NYK"
"187",0.537,0.463,0.093,0.23,0.353,0.324,"CLE","MIL"
"188",0.564,0.436,0.109,0.243,0.327,0.321,"CLE","CLE"
"189",0.562,0.438,0.095,0.231,0.328,0.346,"CLE","ORL"
"190",0.512,0.488,0.115,0.284,0.29,0.311,"CLE","IND"
"191",0.421,0.579,0.113,0.253,0.326,0.308,"CLE","PHI"
"192",0.488,0.512,0.146,0.229,0.302,0.323,"CLE","MIA"
"193",0.347,0.653,0.114,0.223,0.354,0.309,"ORL","OKC"
"194",0.254,0.746,0.141,0.234,0.374,0.251,"ORL","DEN"
"195",0.464,0.536,0.114,0.228,0.333,0.325,"ORL","MIN"
"196",0.564,0.436,0.127,0.231,0.34,0.302,"ORL","LAC"
"197",0.474,0.526,0.102,0.269,0.331,0.298,"ORL","DAL"
"198",0.471,0.529,0.102,0.241,0.329,0.328,"ORL","PHX"
"199",0.504,0.496,0.079,0.238,0.364,0.319,"ORL","LAL"
"200",0.393,0.607,0.12,0.259,0.308,0.313,"ORL","NOP"
"201",0.232,0.768,0.173,0.235,0.331,0.261,"ORL","BOS"
"202",0.371,0.629,0.145,0.23,0.338,0.287,"ORL","NYK"
"203",0.528,0.472,0.094,0.237,0.333,0.336,"ORL","MIL"
"204",0.541,0.459,0.092,0.222,0.336,0.35,"ORL","CLE"
"205",0.557,0.443,0.102,0.231,0.317,0.35,"ORL","ORL"
"206",0.512,0.488,0.108,0.237,0.302,0.353,"ORL","IND"
"207",0.413,0.587,0.137,0.243,0.323,0.297,"ORL","PHI"
"208",0.462,0.538,0.121,0.221,0.333,0.325,"ORL","MIA"
"209",0.345,0.655,0.126,0.234,0.342,0.298,"IND","OKC"
"210",0.283,0.717,0.129,0.268,0.323,0.28,"IND","DEN"
"211",0.527,0.473,0.108,0.26,0.31,0.322,"IND","MIN"
"212",0.553,0.447,0.122,0.245,0.313,0.32,"IND","LAC"
"213",0.483,0.517,0.122,0.247,0.318,0.313,"IND","DAL"
"214",0.531,0.469,0.125,0.233,0.305,0.337,"IND","PHX"
"215",0.519,0.481,0.111,0.253,0.309,0.327,"IND","LAL"
"216",0.391,0.609,0.126,0.245,0.346,0.283,"IND","NOP"
"217",0.275,0.725,0.164,0.266,0.322,0.248,"IND","BOS"
"218",0.391,0.609,0.132,0.238,0.323,0.307,"IND","NYK"
"219",0.609,0.391,0.101,0.267,0.307,0.325,"IND","MIL"
"220",0.605,0.395,0.104,0.232,0.31,0.354,"IND","CLE"
"221",0.597,0.403,0.101,0.253,0.317,0.329,"IND","ORL"
"222",0.541,0.459,0.121,0.218,0.34,0.321,"IND","IND"
"223",0.467,0.533,0.123,0.217,0.333,0.327,"IND","PHI"
"224",0.518,0.482,0.11,0.268,0.3,0.322,"IND","MIA"
"225",0.451,0.549,0.106,0.226,0.339,0.329,"PHI","OKC"
"226",0.403,0.597,0.135,0.242,0.311,0.312,"PHI","DEN"
"227",0.589,0.411,0.112,0.26,0.343,0.285,"PHI","MIN"
